Date;MSCI
28/06/2017;105
29/06/2017;104.07
30/06/2017;102.99
03/07/2017;102.79
04/07/2017;#N/A N/A
05/07/2017;103.08
06/07/2017;102.28
07/07/2017;102.54
10/07/2017;102.99
11/07/2017;105.25
12/07/2017;105.4
13/07/2017;106.1
14/07/2017;107.45
17/07/2017;106.98
18/07/2017;106.98
19/07/2017;107.59
20/07/2017;107.4
21/07/2017;108.15
24/07/2017;108.98
25/07/2017;110.26
26/07/2017;110.35
27/07/2017;109.81
28/07/2017;110.37
31/07/2017;108.95
01/08/2017;110.49
02/08/2017;108.65
03/08/2017;111.71
04/08/2017;111.17
07/08/2017;111.2
08/08/2017;110.39
09/08/2017;109.68
10/08/2017;107.26
11/08/2017;107.13
14/08/2017;110.28
15/08/2017;109.27
16/08/2017;112.19
17/08/2017;110.34
18/08/2017;111.12
21/08/2017;110.32
22/08/2017;112.97
23/08/2017;112.22
24/08/2017;112.02
25/08/2017;114.26
28/08/2017;113.99
29/08/2017;113.08
30/08/2017;112.99
31/08/2017;114.61
01/09/2017;115.45
04/09/2017;#N/A N/A
05/09/2017;113.13
06/09/2017;112.09
07/09/2017;114.02
08/09/2017;114.89
11/09/2017;115.77
12/09/2017;117.74
13/09/2017;114.29
14/09/2017;113.46
15/09/2017;113.3
18/09/2017;113.15
19/09/2017;113.81
20/09/2017;114.29
21/09/2017;115.3
22/09/2017;117.42
25/09/2017;116.01
26/09/2017;115.19
27/09/2017;115.76
28/09/2017;116.97
29/09/2017;116.9
02/10/2017;116.98
03/10/2017;118.51
04/10/2017;120.14
05/10/2017;121.1
06/10/2017;121.28
09/10/2017;121.54
10/10/2017;121.92
11/10/2017;121.88
12/10/2017;122.73
13/10/2017;122.09
16/10/2017;123.48
17/10/2017;122.45
18/10/2017;122.59
19/10/2017;122
20/10/2017;122
23/10/2017;121.7
24/10/2017;120.45
25/10/2017;118.54
26/10/2017;120.25
27/10/2017;120
30/10/2017;117.65
31/10/2017;117.36
01/11/2017;117.59
02/11/2017;125.42
03/11/2017;126.04
06/11/2017;127.7
07/11/2017;125.98
08/11/2017;127.1
09/11/2017;127.88
10/11/2017;125.02
13/11/2017;125.46
14/11/2017;125.12
15/11/2017;124.23
16/11/2017;125.38
17/11/2017;126.58
20/11/2017;127.19
21/11/2017;127.5
22/11/2017;127.5
23/11/2017;#N/A N/A
24/11/2017;128.9
27/11/2017;128.75
28/11/2017;129.35
29/11/2017;127.73
30/11/2017;128.7
01/12/2017;128.95
04/12/2017;127.57
05/12/2017;128.36
06/12/2017;128
07/12/2017;128.21
08/12/2017;127.71
11/12/2017;128.34
12/12/2017;128
13/12/2017;127.29
14/12/2017;127.55
15/12/2017;127.93
18/12/2017;127.28
19/12/2017;126.97
20/12/2017;128.16
21/12/2017;128.62
22/12/2017;128.33
25/12/2017;#N/A N/A
26/12/2017;125.6
27/12/2017;125.47
28/12/2017;126.38
29/12/2017;126.54
01/01/2018;#N/A N/A
02/01/2018;127.68
03/01/2018;129.62
04/01/2018;131.66
05/01/2018;133.03
08/01/2018;133.21
09/01/2018;134.1
10/01/2018;133.75
11/01/2018;134.76
12/01/2018;135.89
15/01/2018;#N/A N/A
16/01/2018;134.33
17/01/2018;135.8
18/01/2018;136.82
19/01/2018;138.25
22/01/2018;139.27
23/01/2018;140.1
24/01/2018;138.07
25/01/2018;137.86
26/01/2018;140.57
29/01/2018;138.05
30/01/2018;138.3
31/01/2018;139.23
01/02/2018;146.32
02/02/2018;142.53
05/02/2018;135.68
06/02/2018;138.89
07/02/2018;139.76
08/02/2018;133.81
09/02/2018;136.48
12/02/2018;137.53
13/02/2018;140.59
14/02/2018;145.65
15/02/2018;148.23
16/02/2018;145
19/02/2018;#N/A N/A
20/02/2018;144.38
21/02/2018;142.79
22/02/2018;142.87
23/02/2018;144.99
26/02/2018;144.42
27/02/2018;142.84
28/02/2018;141.52
01/03/2018;142.65
02/03/2018;143.32
05/03/2018;145.93
06/03/2018;148.99
07/03/2018;148.3
08/03/2018;150.58
09/03/2018;153.12
12/03/2018;154.05
13/03/2018;151.64
14/03/2018;154.43
15/03/2018;154.95
16/03/2018;154.98
19/03/2018;155.38
20/03/2018;158.08
21/03/2018;158.26
22/03/2018;156.13
23/03/2018;154.07
26/03/2018;158.67
27/03/2018;154.04
28/03/2018;150.55
29/03/2018;149.47
30/03/2018;#N/A N/A
02/04/2018;145.94
03/04/2018;145.71
04/04/2018;146.7
05/04/2018;146.51
06/04/2018;144.05
09/04/2018;146.63
10/04/2018;149.05
11/04/2018;148.25
12/04/2018;149.3
13/04/2018;147.61
16/04/2018;149.18
17/04/2018;150.12
18/04/2018;150.43
19/04/2018;150
20/04/2018;149.59
23/04/2018;150
24/04/2018;147.69
25/04/2018;149.21
26/04/2018;149.6
27/04/2018;150.2
30/04/2018;149.83
01/05/2018;150.66
02/05/2018;150.44
03/05/2018;149.2
04/05/2018;152.13
07/05/2018;154.92
08/05/2018;155.31
09/05/2018;156.63
10/05/2018;159.85
11/05/2018;160.97
14/05/2018;160.54
15/05/2018;158.71
16/05/2018;158.32
17/05/2018;156.76
18/05/2018;156.2
21/05/2018;157.99
22/05/2018;156.53
23/05/2018;158.36
24/05/2018;159.13
25/05/2018;159.34
28/05/2018;#N/A N/A
29/05/2018;158.88
30/05/2018;161.99
31/05/2018;162.57
01/06/2018;163.4
04/06/2018;163.48
05/06/2018;163.71
06/06/2018;165.45
07/06/2018;165.22
08/06/2018;166.29
11/06/2018;166.49
12/06/2018;169.74
13/06/2018;172.2
14/06/2018;172.35
15/06/2018;172.75
18/06/2018;171.58
19/06/2018;171.76
20/06/2018;171.71
21/06/2018;170.76
22/06/2018;170.63
25/06/2018;168.56
26/06/2018;166.33
27/06/2018;163.55
28/06/2018;164.61
29/06/2018;165.43
02/07/2018;167.14
03/07/2018;165.73
04/07/2018;#N/A N/A
05/07/2018;164.91
06/07/2018;166.61
09/07/2018;168.64
10/07/2018;168.73
11/07/2018;169.28
12/07/2018;169.26
13/07/2018;169.58
16/07/2018;170.58
17/07/2018;170.74
18/07/2018;171.53
19/07/2018;170.69
20/07/2018;170.98
23/07/2018;173.29
24/07/2018;172.58
25/07/2018;176.25
26/07/2018;173.77
27/07/2018;171.57
30/07/2018;167.5
31/07/2018;166.19
01/08/2018;163
02/08/2018;170.29
03/08/2018;166.82
06/08/2018;170.17
07/08/2018;172.86
08/08/2018;172.69
09/08/2018;173.17
10/08/2018;173.13
13/08/2018;172.6
14/08/2018;175.44
15/08/2018;173.61
16/08/2018;173.92
17/08/2018;173.28
20/08/2018;174.17
21/08/2018;173.54
22/08/2018;173.14
23/08/2018;173.09
24/08/2018;174.02
27/08/2018;174.94
28/08/2018;177.16
29/08/2018;178.07
30/08/2018;177.65
31/08/2018;180.26
03/09/2018;#N/A N/A
04/09/2018;182.23
05/09/2018;178.52
06/09/2018;179.24
07/09/2018;179.18
10/09/2018;178.11
11/09/2018;177.46
