fecha,hora,sec,centseg,volumen,id_orden,tipo_orden,precio
2018-01-03,12:34:35,917698,749,213,1995,LMT,8.32000
2018-01-03,12:34:35,917698,749,743,1998,LMT,8.32000
2018-01-03,12:34:35,917701,755,295,1998,LMT,8.32000
2018-01-03,12:31:24,908583,560,149,1921,LMT,8.33500
2018-01-03,12:29:38,902602,578,88,1879,LMT,8.31500
2018-01-03,12:34:35,917694,748,121,1985,LMT,8.32000
2018-01-03,12:34:35,917694,748,136,1986,LMT,8.32000
2018-01-03,12:34:35,917694,748,54,1989,LMT,8.32000
2018-01-03,12:34:35,917694,748,229,1994,LMT,8.32000
2018-01-03,12:36:00,921207,154,47,1950,LMT,8.31500
2018-01-03,12:36:00,921217,192,287,1950,LMT,8.31500
2018-01-03,12:36:00,921205,153,400,1880,LMT,8.31500
2018-01-03,12:36:00,921205,153,628,1946,LMT,8.31500
2018-01-03,12:36:00,921207,154,257,1949,LMT,8.31500
2018-01-03,12:37:03,926067,141,20,2039,LMT,8.32500
2018-01-03,12:36:00,921217,192,375,2020,LMT,8.31500
2018-01-03,12:36:25,923024,778,40,2020,LMT,8.31500
2018-01-03,12:39:11,933177,212,55,2020,LMT,8.31500
2018-01-03,12:39:33,933983,256,275,2030,LMT,8.31000
2018-01-03,12:39:33,933983,256,229,2074,LMT,8.31000
2018-01-03,12:39:11,933177,212,184,2021,LMT,8.31500
2018-01-03,12:39:33,933961,216,81,2021,LMT,8.31500
2018-01-03,12:12:51,841303,225,29,1746,LMT,8.30500
2018-01-03,12:40:08,935328,40,75,2092,LMT,8.31500
2018-01-03,12:41:30,942233,792,121,2015,LMT,8.30000
2018-01-03,12:43:43,949217,199,148,2103,LMT,8.30000
2018-01-03,12:43:43,949217,199,13,2110,LMT,8.30000
2018-01-03,12:45:36,954045,252,297,2090,LMT,8.29500
2018-01-03,12:45:36,954045,252,101,2126,LMT,8.29500
2018-01-03,12:45:36,954045,252,102,2127,LMT,8.29500
2018-01-03,12:48:19,961050,976,123,2139,LMT,8.29500
2018-01-03,12:48:19,961050,976,142,2140,LMT,8.29500
2018-01-03,12:48:19,961050,976,181,2143,LMT,8.29500
2018-01-03,12:48:19,961050,976,29,2149,LMT,8.29500
2018-01-03,13:11:47,1034451,340,30,2128,LMT,8.31000
2018-01-03,13:11:47,1034451,340,170,2131,LMT,8.31000
2018-01-03,13:11:47,1034451,340,83,2131,LMT,8.31000
2018-01-03,13:11:47,1034451,340,47,2152,LMT,8.31000
2018-01-03,13:11:47,1034451,340,123,2152,LMT,8.31000
2018-01-03,13:11:47,1034451,340,130,2153,LMT,8.31000
2018-01-03,13:11:47,1034451,340,130,2207,LMT,8.31000
2018-01-03,13:11:47,1034451,340,253,2207,LMT,8.31000
2018-01-03,13:11:47,1034451,340,184,2218,LMT,8.31000
2018-01-03,13:13:20,1037767,539,100,2235,LMT,8.31000
2018-01-03,13:13:20,1037767,539,122,2237,LMT,8.31000
2018-01-03,13:13:20,1037769,540,278,2240,LMT,8.31000
2018-01-03,13:13:20,1037787,842,10,2240,LMT,8.31000
2018-01-03,13:13:20,1037787,842,76,2242,LMT,8.31000
2018-01-03,13:12:26,1036258,756,1,2221,LMT,8.30000
2018-01-03,13:33:36,1090979,154,565,2280,LMT,8.30500
2018-01-03,13:33:36,1090981,155,38,2280,LMT,8.30500
2018-01-03,13:33:36,1090981,155,130,2287,LMT,8.30500
2018-01-03,13:33:36,1090984,155,57,2287,LMT,8.30500
2018-01-03,13:23:40,1062439,480,105,2258,LMT,8.31000
2018-01-03,13:26:44,1072669,604,62,2258,LMT,8.31000
2018-01-03,13:27:00,1073598,481,103,2258,LMT,8.31000
2018-01-03,13:34:04,1091954,465,86,2258,LMT,8.31000
2018-01-03,13:35:06,1093950,501,737,2290,LMT,8.31000
2018-01-03,13:35:06,1093949,500,81,2290,LMT,8.31000
